,Text,Topic,Text Length,
0,"Between the nine planets of the solar system, a cosmic message was introduced.The missiles fly along the following routes: Earth - Mercury, Pluto - Venus, Earth - Pluto, Pluto - Mercury, Mercury - Venus, Uranus - Neptune, Neptune - Saturn, Saturn - Jupiter - Mars and Mars - Uranus.Can I get from Earth to Mars?",1,316,
1,"The country has 9 cities with names 1, 2, 3, 4, 5, 6, 7, 8, 9. The traveler found that the two cities are connected by aircraft in that and only if the two-digit number composed of digitsThe names of these cities are divided by 3. Is it possible to get from city 1 to city 9?",1,284,
2,"There are 100 cities in the state, and 4 roads come out of each of them.How many roads are in the state?",1,99,
3,"The class has 30 people.Could it be that 9 of them have 3 friends (in this class), 11 - 4 friends, and 10 - 5 friends each?",1,123,
4,"In the city of a small 15 phones.Is it possible to connect them with wires so that there are four phones, each of which is connected to three others, eight phones, each of which is connected to six, and three phones, each of which is connected to five others?",1,256,
5,"The country has a seed of 15 cities, each of which is connected by roads no less than with others.
Prove that from each city you can get to any other (perhaps passing through other cities).",1,205,
6,"There is a group of islands connected by bridges so that from each island you can get to any other.The tourist went around all the islands, passing through each bridge exactly once.He visited the island of Troecratic three times.How many bridges leads from a triple if a tourist
 a) He did not start with him and did not finish him?
 b) He started with him, but did not finish him?
 c) He started from him and finished it on it?",1,397,
7,"Prove that there is no count without loops and multiple ribs with five peaks, the degree of which are 4, 4, 4, 4, 2.",1,116,
8,"Dima, having arrived from Vanland, said that there are several lakes interconnected by rivers.Three rivers flow from each lake, and four rivers flow into each lake.Prove that he is mistaken.",1,203,
9,"The class has more than 32, but less than 40 people.Each boy is friends with three girls, and every girl with five boys.
How many people are in the class?",1,149,
10,"Several secret objects are connected by an underground railway in such a way that each object is directly connected to no more than three others and from each object can be reached underground to any other, making no more than one transplant.What is the maximum number of top secret objects?",1,314,
11,"The pedestrian went around six streets of the same city, passing every exactly twice, but could not go around them, passing every only once.Could it be?",1,136,
12,In the city of a small 15 phones.Can they be connected by wires so that each phone is connected with exactly five others?,1,126,
